FIPS Code,Geography,Year,Program Type,Population
36000,New York State,2024,Postcensal Population Estimate,19867248
36001,Albany County,2024,Postcensal Population Estimate,319964
36003,Allegany County,2024,Postcensal Population Estimate,47299
36005,Bronx County,2024,Postcensal Population Estimate,1384724
36007,Broome County,2024,Postcensal Population Estimate,196397
36009,Cattaraugus County,2024,Postcensal Population Estimate,75475
36011,Cayuga County,2024,Postcensal Population Estimate,74567
36013,Chautauqua County,2024,Postcensal Population Estimate,124105
36015,Chemung County,2024,Postcensal Population Estimate,81115
36017,Chenango County,2024,Postcensal Population Estimate,45776
36019,Clinton County,2024,Postcensal Population Estimate,77871
36021,Columbia County,2024,Postcensal Population Estimate,60299
36023,Cortland County,2024,Postcensal Population Estimate,45945
36025,Delaware County,2024,Postcensal Population Estimate,44191
36027,Dutchess County,2024,Postcensal Population Estimate,299963
36029,Erie County,2024,Postcensal Population Estimate,950602
36031,Essex County,2024,Postcensal Population Estimate,36744
36033,Franklin County,2024,Postcensal Population Estimate,47086
36035,Fulton County,2024,Postcensal Population Estimate,52073
36037,Genesee County,2024,Postcensal Population Estimate,57604
36039,Greene County,2024,Postcensal Population Estimate,46903
36041,Hamilton County,2024,Postcensal Population Estimate,5082
36043,Herkimer County,2024,Postcensal Population Estimate,59585
36045,Jefferson County,2024,Postcensal Population Estimate,113140
36047,Kings County,2024,Postcensal Population Estimate,2617631
36049,Lewis County,2024,Postcensal Population Estimate,26570
36051,Livingston County,2024,Postcensal Population Estimate,61561
36053,Madison County,2024,Postcensal Population Estimate,67072
36055,Monroe County,2024,Postcensal Population Estimate,752202
36057,Montgomery County,2024,Postcensal Population Estimate,49648
36059,Nassau County,2024,Postcensal Population Estimate,1392438
36061,New York County,2024,Postcensal Population Estimate,1660664
36063,Niagara County,2024,Postcensal Population Estimate,209570
36065,Oneida County,2024,Postcensal Population Estimate,228347
36067,Onondaga County,2024,Postcensal Population Estimate,469812
36069,Ontario County,2024,Postcensal Population Estimate,113012
36071,Orange County,2024,Postcensal Population Estimate,411767
36073,Orleans County,2024,Postcensal Population Estimate,39686
36075,Oswego County,2024,Postcensal Population Estimate,118305
36077,Otsego County,2024,Postcensal Population Estimate,60524
36079,Putnam County,2024,Postcensal Population Estimate,98409
36081,Queens County,2024,Postcensal Population Estimate,2316841
36083,Rensselaer County,2024,Postcensal Population Estimate,160749
36085,Richmond County,2024,Postcensal Population Estimate,498212
36087,Rockland County,2024,Postcensal Population Estimate,348144
36089,St. Lawrence County,2024,Postcensal Population Estimate,106198
36091,Saratoga County,2024,Postcensal Population Estimate,240360
36093,Schenectady County,2024,Postcensal Population Estimate,162261
36095,Schoharie County,2024,Postcensal Population Estimate,30151
36097,Schuyler County,2024,Postcensal Population Estimate,17121
36099,Seneca County,2024,Postcensal Population Estimate,32650
36101,Steuben County,2024,Postcensal Population Estimate,92015
36103,Suffolk County,2024,Postcensal Population Estimate,1535909
36105,Sullivan County,2024,Postcensal Population Estimate,80450
36107,Tioga County,2024,Postcensal Population Estimate,47574
36109,Tompkins County,2024,Postcensal Population Estimate,105602
36111,Ulster County,2024,Postcensal Population Estimate,182977
36113,Warren County,2024,Postcensal Population Estimate,65288
36115,Washington County,2024,Postcensal Population Estimate,59839
36117,Wayne County,2024,Postcensal Population Estimate,90757
36119,Westchester County,2024,Postcensal Population Estimate,1006447
36121,Wyoming County,2024,Postcensal Population Estimate,39588
36123,Yates County,2024,Postcensal Population Estimate,24387
36000,New York State,2023,Postcensal Population Estimate,19737367
36001,Albany County,2023,Postcensal Population Estimate,318000
36003,Allegany County,2023,Postcensal Population Estimate,47327
36005,Bronx County,2023,Postcensal Population Estimate,1375266
36007,Broome County,2023,Postcensal Population Estimate,196383
36009,Cattaraugus County,2023,Postcensal Population Estimate,75680
36011,Cayuga County,2023,Postcensal Population Estimate,74575
36013,Chautauqua County,2023,Postcensal Population Estimate,124742
36015,Chemung County,2023,Postcensal Population Estimate,81279
36017,Chenango County,2023,Postcensal Population Estimate,45875
36019,Clinton County,2023,Postcensal Population Estimate,77883
36021,Columbia County,2023,Postcensal Population Estimate,60616
36023,Cortland County,2023,Postcensal Population Estimate,45957
36025,Delaware County,2023,Postcensal Population Estimate,44514
36027,Dutchess County,2023,Postcensal Population Estimate,298224
36029,Erie County,2023,Postcensal Population Estimate,948386
36031,Essex County,2023,Postcensal Population Estimate,36796
36033,Franklin County,2023,Postcensal Population Estimate,46276
36035,Fulton County,2023,Postcensal Population Estimate,52253
36037,Genesee County,2023,Postcensal Population Estimate,57634
36039,Greene County,2023,Postcensal Population Estimate,47096
36041,Hamilton County,2023,Postcensal Population Estimate,5070
36043,Herkimer County,2023,Postcensal Population Estimate,59571
36045,Jefferson County,2023,Postcensal Population Estimate,113575
36047,Kings County,2023,Postcensal Population Estimate,2592937
36049,Lewis County,2023,Postcensal Population Estimate,26584
36051,Livingston County,2023,Postcensal Population Estimate,61248
36053,Madison County,2023,Postcensal Population Estimate,67152
36055,Monroe County,2023,Postcensal Population Estimate,750901
36057,Montgomery County,2023,Postcensal Population Estimate,49580
36059,Nassau County,2023,Postcensal Population Estimate,1386052
36061,New York County,2023,Postcensal Population Estimate,1633229
36063,Niagara County,2023,Postcensal Population Estimate,209684
36065,Oneida County,2023,Postcensal Population Estimate,228010
36067,Onondaga County,2023,Postcensal Population Estimate,469226
36069,Ontario County,2023,Postcensal Population Estimate,112605
36071,Orange County,2023,Postcensal Population Estimate,408427
36073,Orleans County,2023,Postcensal Population Estimate,39390
36075,Oswego County,2023,Postcensal Population Estimate,117889
36077,Otsego County,2023,Postcensal Population Estimate,60519
36079,Putnam County,2023,Postcensal Population Estimate,97988
36081,Queens County,2023,Postcensal Population Estimate,2294682
36083,Rensselaer County,2023,Postcensal Population Estimate,159846
36085,Richmond County,2023,Postcensal Population Estimate,494774
36087,Rockland County,2023,Postcensal Population Estimate,343310
36089,St. Lawrence County,2023,Postcensal Population Estimate,106727
36091,Saratoga County,2023,Postcensal Population Estimate,238873
